Species,Number,Detector.ID,Date,Time,Latitude,Longitude
Nyctalus spp.,1,A2,07/08/2018,00:42:06,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,07/08/2018,02:13:29,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,07/08/2018,02:28:19,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,07/08/2018,02:28:26,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,07/08/2018,02:31:22,55.01658333,-5.008966667
Plecotus auritus,1,A2,07/08/2018,02:54:01,55.01658333,-5.008966667
Pipistrellus pipistrellus,1,A2,07/08/2018,03:42:45,55.01658333,-5.008966667
Plecotus auritus,1,A2,07/08/2018,04:55:17,55.01658333,-5.008966667
Nyctalus noctula,1,A2,07/08/2018,05:50:12,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,06/08/2018,23:50:25,55.01658333,-5.008966667
Pipistrellus pygmaeus,1,A2,08/08/2018,00:00:14,55.01658333,-5.008966667
